##Please Download for better formatting,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Footprint,Datasheet,JLC Part Number,Alt JLC Part Number,Manufacturer_Name,Manufacturer_Part_Number,Populate,Part Price,Total Price
1,1,BT1,18650 Battery,bat_holder:KEYSTONE-1042,~,N/A,N/A,,,DNP,0,0.0000
2,5,"C1, C4, C5, C6, C7",1u,1uF_0804:CAPC1608X90N,~,C52923,Multiple,,,,0.0037,0.0185
3,2,"C2, C3",10uF,10uF_0804:CAPC2012X145N,~,C19702,Multiple,,,,0.068,0.1360
4,1,C8,10uF,10uF_0804:CAPC2012X145N,~,C19702,Multiple,,,,0.068,0.0680
5,1,C9,47n,47nF_0804:CAPC1608X90N,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,C1622,Multiple,Samsung Electro-Mechanics,CL05B104KO5NNNC,,0.004,0.0040
6,2,"C10, C11",100n,Capacitor_SMD:C_0402_1005Metric,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,C1525,Multiple,Samsung Electro-Mechanics,CL05B104KO5NNNC,,0.0011,0.0022
7,2,"C12, C13",22p,22pF_0804:CAPC1608X90N,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,C1653,Multiple,Samsung Electro-Mechanics,CL05B104KO5NNNC,,0.0123,0.0246
8,3,"D1, D2, D5",1N5819WS,Diode_SMD:D_SOD-323,https://datasheet.lcsc.com/lcsc/1810202112_Guangdong-Hottech-1N5819WS_C191023.pdf,C191023,C1884550,,,,0.0103,0.0309
9,1,D3,Green LED,Green_LED:LEDC1608X50N,~,C72043,Multiple,,,,0.0312,0.0312
10,1,D4,Red LED,Red_LED:LEDC1608X70N,~,C84256,Multiple,,,,0.0139,0.0139
11,3,"D6, D7, D8",LED,LED_SMD:LED_0805_2012Metric,https://datasheet.lcsc.com/lcsc/1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf,C2286,Multiple,Hubei Kento Elec,KT-0603R,,0.0032,0.0096
