Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Alt_LCSC,Arrow Part Number,Arrow Price/Stock,Description,Field5,Height,JLC Part Number,LCSC,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Populate,Price,Total Price
1,1,BT1,18650 Battery,Device:Battery_Cell,bat_holder:KEYSTONE-1042,~,,,,,,,,,,,,,DNP,,
2,5,"C1, C2, C3, C4, C10",10uF,Device:C_Small,10uF_0804:CAPC2012X145N,~,,,,,,,C19702,C19702,,,,,,0.068,0.34
3,2,"C5, C6",1u,Device:C_Small,1uF_0804:CAPC1608X90N,~,,,,,,,C52923,C52923,,,,,,0.0037,0.0074
4,3,"C7, C8, C9",10nF,Device:C_Small,Capacitor_SMD:C_0402_1005Metric,~,,,,,,,C15195,C15195,,,,,,0.001,0.003
5,1,C11,47n,CL05B104KO5NNNC:CL05B104KO5NNNC,47nF_0804:CAPC1608X90N,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,,CL05B104KO5NNNC,https://www.arrow.com/en/products/cl05b104ko5nnnc/samsung-electro-mechanics?region=europe,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,,0.55,C1622,C1622,Samsung Electro-Mechanics,CL05B104KO5NNNC,187-CL05B104KO5NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,,0.004,0.004
6,2,"C12, C13",100n,CL05B104KO5NNNC:CL05B104KO5NNNC,Capacitor_SMD:C_0402_1005Metric,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,,CL05B104KO5NNNC,https://www.arrow.com/en/products/cl05b104ko5nnnc/samsung-electro-mechanics?region=europe,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,,0.55,C1525,C1525,Samsung Electro-Mechanics,CL05B104KO5NNNC,187-CL05B104KO5NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,,0.0011,0.0022
7,2,"C14, C15",22p,CL05B104KO5NNNC:CL05B104KO5NNNC,22pF_0804:CAPC1608X90N,https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA10/2408147.pdf,,CL05B104KO5NNNC,https://www.arrow.com/en/products/cl05b104ko5nnnc/samsung-electro-mechanics?region=europe,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,,0.55,C1653,C1653,Samsung Electro-Mechanics,CL05B104KO5NNNC,187-CL05B104KO5NNNC,https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,,0.0123,0.0246
8,2,"D1, D6",Red LED,Device:LED,Red_LED:LEDC1608X70N,~,,,,,,,C84256,C84256,,,,,,0.0139,0.0278
9,3,"D2, D3, D4",1N5819WS,Diode:1N5819,Diode_SMD:D_SOD-323,https://datasheet.lcsc.com/lcsc/1810202112_Guangdong-Hottech-1N5819WS_C191023.pdf,,,,,,,C191023,C191023,,,,,,0.0103,0.0309
10,1,D5,Green LED,Device:LED,Green_LED:LEDC1608X50N,~,,,,,,,C72043,C72043,,,,,,0.0312,0.0312
